FIPS,County,State,Republican,Democrat,
54019,Fayette,WV,11580,5063,
54021,Gilmer,WV,2012,599,
54023,Grant,WV,4871,607,
54025,Greenbrier,WV,10925,4655,
54027,Hampshire,WV,8033,1939,
54029,Hancock,WV,9806,3790,
54031,Hardy,WV,4859,1381,
54033,Harrison,WV,20683,9215,
54035,Jackson,WV,10093,3207,
54037,Jefferson,WV,15033,12127,
54039,Kanawha,WV,46398,34344,
54041,Lewis,WV,5782,1538,
54043,Lincoln,WV,6012,1711,
54045,Logan,WV,10534,2333,
54047,McDowell,WV,5148,1333,
54049,Marion,WV,16300,8901,
54051,Marshall,WV,10435,3455,
54053,Mason,WV,8491,2526,
54055,Mercer,WV,19237,5556,
54057,Mineral,WV,10040,2660,
54059,Mingo,WV,8544,1397,
54061,Monongalia,WV,20803,20282,
54063,Monroe,WV,5068,1345,
54065,Morgan,WV,6537,1998,
54067,Nicholas,WV,8279,2226,
54069,Ohio,WV,12354,7223,
54071,Pendleton,WV,2782,820,
54073,Pleasants,WV,2742,699,
54075,Pocahontas,WV,2895,1047,
54077,Preston,WV,11190,3163,
54079,Putnam,WV,20034,7878,
54081,Raleigh,WV,24673,7982,
54083,Randolph,WV,8673,3362,
54085,Ritchie,WV,3649,586,
54087,Roane,WV,4213,1455,
54089,Summers,WV,4074,1448,
54091,Taylor,WV,5477,1796,
54093,Tucker,WV,2841,938,
54095,Tyler,WV,3226,631,
54097,Upshur,WV,7771,2256,
54099,Wayne,WV,12585,4088,
54101,Webster,WV,2759,610,
54103,Wetzel,WV,4993,1539,
54105,Wirt,WV,2134,466,
54107,Wood,WV,27202,10926,
54109,Wyoming,WV,7353,1157,
44001,Bristol,RI,9745,18050,
44003,Kent,RI,42001,49113,
44005,Newport,RI,15722,29486,
44007,Providence,RI,102551,165012,
44009,Washington,RI,29818,44549,
25001,Barnstable,MA,55311,91994,
25003,Berkshire,MA,18064,51705,
25005,Bristol,MA,119872,153377,
25007,Dukes,MA,2631,9914,
25009,Essex,MA,144837,267198,
25011,Franklin,MA,11201,30030,
25013,Hampden,MA,87318,125948,
25015,Hampshire,MA,22281,63362,
25017,Middlesex,MA,226956,617196,
25019,Nantucket,MA,1914,5241,
25021,Norfolk,MA,125294,273312,
25023,Plymouth,MA,121227,173630,
25025,Suffolk,MA,58613,270522,
25027,Worcester,MA,171683,248773,
39001,Adams,OH,9870,2156,
39003,Allen,OH,33116,14149,
39005,Ashland,OH,19407,6541,
39007,Ashtabula,OH,26890,16497,
39009,Athens,OH,10862,14772,
39011,Auglaize,OH,20798,4651,
39013,Belmont,OH,23560,9138,
39015,Brown,OH,16480,4380,
39017,Butler,OH,114392,69613,
39019,Carroll,OH,10745,3251,
39021,Champaign,OH,14589,5062,
39023,Clarke,OH,39032,24076,
39025,Clermont,OH,74570,34092,
39027,Clinton,OH,15488,4697,
39029,Columbiana,OH,35726,13359,
39031,Coshocton,OH,12325,4125,
39033,Crawford,OH,15436,4916,
39035,Cuyahoga,OH,202699,416176,
39037,Darke,OH,22004,4731,
39039,Defiance,OH,13038,5981,
39041,Delaware,OH,66356,57735,
39043,Erie,OH,22160,17493,
39045,Fairfield,OH,50797,31224,
39047,Fayette,OH,9473,2975,
39049,Franklin,OH,211237,409144,
39051,Fulton,OH,15731,6664,
39053,Gallia,OH,10645,2990,
39055,Geauga,OH,34143,21201,
39057,Greene,OH,52072,34798,
39059,Guernsey,OH,13407,4577,
39061,Hamilton,OH,177886,246266,
39063,Hancock,OH,26310,11757,
39065,Hardin,OH,9949,3062,
39067,Harrison,OH,5792,1768,
39069,Henry,OH,10479,4062,
39071,Highland,OH,15678,3799,
39073,Hocking,OH,9737,3880,
39075,Holmes,OH,10796,1994,
39077,Huron,OH,18956,7759,
39079,Jackson,OH,11309,3311,
39081,Jefferson,OH,22828,10018,
39083,Knox,OH,22340,8589,
39085,Lake,OH,73278,55514,
39087,Lawrence,OH,20306,7489,
39089,Licking,OH,59514,33055,
39091,Logan,OH,17964,5055,
39093,Lorain,OH,79520,75667,
39095,Lucas,OH,81763,115411,
39097,Madison,OH,13835,5698,
39099,Mahoning,OH,59903,57641,
39101,Marion,OH,19023,8269,
39103,Medina,OH,64598,39800,
39105,Meigs,OH,8316,2492,
39107,Mercer,OH,19452,4030,
39109,Miami,OH,41371,15663,
39111,Monroe,OH,5463,1605,
39113,Montgomery,OH,129034,135064,
39115,Morgan,OH,5041,1725,
39117,Morrow,OH,14077,4048,
39119,Muskingum,OH,27867,11971,
39121,Noble,OH,5135,1170,
39123,Ottawa,OH,14628,9008,
39125,Paulding,OH,7086,2213,
39127,Perry,OH,12357,4098,
39129,Pickaway,OH,20593,7304,
39131,Pike,OH,9157,3110,
39133,Portage,OH,45990,35661,
39135,Preble,OH,17022,4493,
39137,Putnam,OH,16412,3195,
39139,Richland,OH,41472,17640,
39141,Ross,OH,22278,10557,
39143,Sandusky,OH,18896,10596,
39145,Scioto,OH,22609,9080,
39147,Seneca,OH,17086,8266,
39149,Shelby,OH,20422,4465,
39151,Stark,OH,111097,75904,
39153,Summit,OH,124833,151668,
39155,Trumbull,OH,55194,44519,
39157,Tuscarawas,OH,30458,12889,
39159,Union,OH,21669,11141,
39161,Van Wert,OH,11650,3067,
39163,Vinton,OH,4632,1331,
39165,Warren,OH,87988,46069,
39167,Washington,OH,22307,9243,
39169,Wayne,OH,36759,16660,
39171,Williams,OH,13452,4842,
39173,Wood,OH,35757,30617,
39175,Wyandot,OH,8462,2733,
50001,Addison,VT,6292,14967,
50003,Bennington,VT,7114,12705,
50005,Caledonia,VT,6551,9011,
50007,Chittenden,VT,21017,74961,
50009,Essex,VT,1773,1405,
50011,Franklin,VT,11274,13611,
50013,Grand Isle,VT,1810,2905,
50015,Lamoille,VT,4163,10240,
50017,Orange,VT,6187,10304,
50019,Orleans,VT,6512,7147,
50021,Rutland,VT,14672,18230,
50023,Washington,VT,8928,25191,
50025,Windham,VT,6440,18767,
50027,Windsor,VT,9971,23376,
33001,Belknap,NH,20899,16894,
33003,Carroll,NH,16150,16649,
33005,Cheshire,NH,17898,25522,
33007,Coos,NH,8617,7640,
33009,Grafton,NH,19905,33180,
33011,Hillsborough,NH,104625,122344,
33013,Merrimack,NH,39711,48533,
33015,Rockingham,NH,95858,100064,
33017,Strafford,NH,30489,41721,
33019,Sullivan,NH,11508,12390,
23001,Androscoggin,ME,29268,27617,
23003,Aroostook,ME,21113,13956,
23005,Cumberland,ME,59584,128759,
23007,Franklin,ME,8754,8069,
23009,Hancock,ME,14982,19369,
23011,Kennebec,ME,34721,34902,
23013,Knox,ME,9982,15110,
23015,Lincoln,ME,10256,12684,
23017,Oxford,ME,17698,14755,
23019,Penobscot,ME,44825,37713,
23021,Piscataquis,ME,6143,3517,
23023,Sagadahoc,ME,9755,13528,
23025,Somerset,ME,16644,10199,
23027,Waldo,ME,11196,12345,
23029,Washington,ME,10194,6761,
23031,York,ME,54817,71189,
18001,Adams,IN,10686,3236,
18003,Allen,IN,92083,73189,
18005,Bartholomew,IN,22410,12934,
18007,Benton,IN,3007,1009,
18009,Blackford,IN,3841,1376,
18011,Boone,IN,22351,15244,
18013,Brown,IN,5777,3036,
18015,Carroll,IN,7086,2224,
18017,Cass,IN,10552,4304,
18019,Clark,IN,33668,23093,
18021,Clay,IN,9499,2552,
18023,Clinton,IN,9334,3361,
18025,Crawford,IN,3483,1355,
18027,Daviess,IN,9576,2169,
18029,Dearborn,IN,19528,5446,
18031,Decatur,IN,9575,2439,
18033,Dekalb,IN,14237,4966,
18035,Delaware,IN,26827,20474,
18037,Dubois,IN,15033,6292,
18039,Elkhart,IN,46972,26108,
18041,Fayette,IN,7755,2237,
18043,Floyd,IN,23400,17511,
18045,Fountain,IN,6154,1629,
18047,Franklin,IN,9691,2137,
18049,Fulton,IN,6694,2280,
18051,Gibson,IN,11817,4023,
18053,Grant,IN,18543,8015,
18055,Greene,IN,11103,3389,
18057,Hamilton,IN,101587,88390,
18059,Hancock,IN,28996,12895,
18061,Harrison,IN,14565,5343,
18063,Hendricks,IN,53802,32604,
18065,Henry,IN,15043,5544,
18067,Howard,IN,26449,13303,
18069,Huntington,IN,13147,4255,
18071,Jackson,IN,14555,4302,
18073,Jasper,IN,11383,3798,
18075,Jay,IN,6361,1926,
18077,Jefferson,IN,9663,4731,
18079,Jennings,IN,9490,2523,
18081,Johnson,IN,51219,24736,
18083,Knox,IN,11655,4067,
18085,Kosciusko,IN,26499,8364,
18087,LaGrange,IN,8110,2355,
18089,Lake,IN,91760,124870,
18091,LaPorte,IN,25997,22427,
18093,Lawrence,IN,15601,4961,
18095,Madison,IN,31215,19524,
18097,Marion,IN,134175,247772,
18099,Marshall,IN,13844,5712,
18101,Martin,IN,4029,1011,
18103,Miami,IN,10925,3235,
18105,Monroe,IN,22071,39861,
18107,Montgomery,IN,12659,4213,
18109,Morgan,IN,27512,7781,
18111,Newton,IN,4942,1509,
18113,Noble,IN,14195,4660,
18115,Ohio,IN,2392,750,
18117,Orange,IN,6432,2224,
18119,Owen,IN,7286,2420,
18121,Parke,IN,5400,1503,
18123,Perry,IN,5345,3203,
18125,Pike,IN,4692,1415,
18127,Porter,IN,45008,39746,
18129,Posey,IN,9209,3817,
18131,Pulaski,IN,4246,1463,
18133,Putnam,IN,12278,3946,
18135,Randolph,IN,8312,2513,
18137,Ripley,IN,11261,2774,
18139,Rush,IN,6035,1754,
18141,St. Joseph,IN,53164,59896,
18143,Scott,IN,7331,2701,
18145,Shelby,IN,14568,5023,
18147,Spencer,IN,7357,3213,
18149,Starke,IN,7469,2651,
18151,Steuben,IN,11327,4513,
18153,Sullivan,IN,6691,2153,
18155,Switzerland,IN,3133,964,
18157,Tippecanoe,IN,34581,35017,
18159,Tipton,IN,6110,1834,
18161,Union,IN,2688,736,
18163,Vanderburgh,IN,41844,34415,
18165,Vermillion,IN,5184,2145,
18167,Vigo,IN,24545,18123,
18169,Wabash,IN,10762,3494,
18171,Warren,IN,3401,974,
18173,Warrick,IN,21326,11923,
18175,Washington,IN,9114,2784,
18177,Wayne,IN,17567,9524,
18179,Wells,IN,10855,2928,
18181,White,IN,7957,3032,
18183,Whitley,IN,12862,4234,
26001,Alcona,MI,4848,2142,
26003,Alger,MI,3014,2053,
26005,Allegan,MI,41392,24449,
26007,Alpena,MI,10686,6000,
26009,Antrim,MI,9748,5960,
26011,Arenac,MI,5928,2774,
26013,Baraga,MI,2512,1478,
26015,Barry,MI,23471,11797,
26017,Bay,MI,33125,26151,
26019,Benzie,MI,6601,5480,
26021,Berrien,MI,43519,37438,
26023,Branch,MI,14064,6159,
26025,Calhoun,MI,36221,28877,
26027,Cass,MI,16699,9130,
26029,Charlevoix,MI,9841,6939,
26031,Cheboygan,MI,10186,5437,
26033,Chippewa,MI,10681,6648,
26035,Clare,MI,10861,5199,
26037,Clinton,MI,25098,21968,
26039,Crawford,MI,5087,2672,
26041,Delta,MI,13207,7606,
26043,Dickinson,MI,9617,4744,
26045,Eaton,MI,31798,31299,
26047,Emmet,MI,12135,9662,
26049,Genesee,MI,98714,119390,
26051,Gladwin,MI,9893,4524,
26053,Gogebic,MI,4600,3570,
26055,Grand Traverse,MI,30502,28683,
26057,Gratiot,MI,12102,6693,
